20.9.2012 19:07:14;1,9;1,0;2,0;1,7;1,7;102347;28;11;-6,7
20.9.2012 19:07:39;1,9;1,0;2,0;1,7;1,7;102345;28;11;-6,7
20.9.2012 19:08:04;1,9;1,0;2,0;1,7;1,7;102354;28;11;-6,7
20.9.2012 19:08:29;1,9;1,0;2,0;1,7;1,7;102348;28;11;-6,7
20.9.2012 19:08:54;1,9;1,0;2,0;1,7;1,7;102346;28;11;-6,7
20.9.2012 19:09:19;1,9;1,0;2,0;1,7;1,8;102350;28;11;-6,7
20.9.2012 19:09:44;1,9;1,0;2,0;1,7;1,8;102351;28;11;-6,7
20.9.2012 19:10:09;1,9;1,0;1,9;1,7;1,8;102361;28;11;-6,7
20.9.2012 19:10:34;1,9;1,0;1,9;1,7;1,8;102344;28;11;-6,7
20.9.2012 19:10:59;1,9;1,0;2,0;1,7;1,8;102341;28;11;-6,7
20.9.2012 19:11:24;1,9;1,0;2,0;1,7;1,7;102334;28;11;-6,7
20.9.2012 19:11:49;1,9;1,0;2,0;1,7;1,7;102348;28;11;-6,7
20.9.2012 19:12:14;1,9;1,0;2,0;1,7;1,7;102340;28;11;-6,7
20.9.2012 19:12:39;1,9;1,0;2,0;1,7;1,7;102341;28;11;-6,7
20.9.2012 19:13:05;1,9;1,0;2,0;1,7;1,7;102349;28;11;-6,7
20.9.2012 19:13:30;1,9;1,0;2,0;1,7;1,7;102346;28;11;-6,7
20.9.2012 19:13:55;1,9;1,0;2,0;1,7;1,7;102350;29;11;-6,3
20.9.2012 19:14:20;1,9;1,0;2,0;1,7;1,7;102353;29;11;-6,3
20.9.2012 19:14:45;1,9;1,0;2,0;1,7;1,7;102340;29;11;-6,3
20.9.2012 19:15:10;1,9;1,0;2,0;1,7;1,7;102351;29;11;-6,3
20.9.2012 19:15:35;1,9;1,0;2,0;1,7;1,7;102364;29;11;-6,3
20.9.2012 19:16:00;2,0;1,0;2,0;1,7;1,7;102354;28;11;-6,7
20.9.2012 19:16:25;1,9;1,0;2,0;1,7;1,7;102352;29;11;-6,3
20.9.2012 19:16:50;2,0;1,0;2,0;1,7;1,7;102352;29;11;-6,3
20.9.2012 19:17:15;1,9;1,0;2,0;1,7;1,7;102356;29;11;-6,3
20.9.2012 19:17:40;1,9;1,0;1,9;1,7;1,8;102356;29;11;-6,3
20.9.2012 19:18:05;1,9;1,0;1,9;1,7;1,8;102357;29;11;-6,3
20.9.2012 19:18:30;1,9;1,0;1,9;1,7;1,7;102337;29;11;-6,3
20.9.2012 19:18:55;1,9;1,0;1,9;1,7;1,8;102337;29;11;-6,3
20.9.2012 19:19:20;1,9;1,0;1,9;1,7;1,8;102352;29;11;-6,3
20.9.2012 19:19:45;1,9;1,0;1,9;1,7;1,8;102347;29;11;-6,3
20.9.2012 19:20:10;1,9;1,0;1,9;1,7;1,8;102356;29;11;-6,3
20.9.2012 19:20:35;1,9;1,0;1,9;1,7;1,8;102345;29;11;-6,3
20.9.2012 19:21:00;1,9;1,0;1,9;1,7;1,8;102352;29;11;-6,3
20.9.2012 19:21:25;1,9;1,0;1,9;1,7;1,8;102359;29;11;-6,3
20.9.2012 19:21:50;1,9;1,0;1,9;1,7;1,8;102355;29;11;-6,3
20.9.2012 19:22:15;1,9;1,0;1,9;1,7;1,8;102346;29;11;-6,3
20.9.2012 19:22:40;1,9;1,0;2,0;1,7;1,8;102344;29;11;-6,3
20.9.2012 19:23:05;1,9;1,0;2,0;1,7;1,8;102339;29;11;-6,3
20.9.2012 19:23:30;1,9;1,0;2,0;1,7;1,8;102340;29;11;-6,3
20.9.2012 19:23:55;1,9;1,0;2,0;1,7;1,8;102344;29;11;-6,3
20.9.2012 19:24:20;1,9;1,0;1,9;1,7;1,8;102342;29;11;-6,3
20.9.2012 19:24:45;1,9;1,0;1,9;1,7;1,8;102346;29;11;-6,3
20.9.2012 19:25:10;1,9;1,0;1,9;1,7;1,8;102323;29;11;-6,3
20.9.2012 19:25:35;1,9;1,0;1,9;1,7;1,8;102327;29;11;-6,3
20.9.2012 19:26:00;1,9;1,0;1,9;1,7;1,8;102326;29;11;-6,3
20.9.2012 19:26:25;1,9;1,0;1,9;1,7;1,8;102334;29;11;-6,3
20.9.2012 19:26:50;1,9;1,0;1,9;1,7;1,7;102339;29;11;-6,3
20.9.2012 19:27:15;1,9;1,0;1,9;1,7;1,7;102323;29;11;-6,3
20.9.2012 19:27:40;1,9;1,0;1,9;1,7;1,7;102330;30;10;-6,7
20.9.2012 19:28:06;1,9;1,0;1,9;1,7;1,7;102324;30;10;-6,7
20.9.2012 19:28:31;1,9;1,0;1,9;1,7;1,7;102325;29;11;-6,3
20.9.2012 19:28:56;1,9;1,0;1,9;1,7;1,7;102323;29;11;-6,3
20.9.2012 19:29:21;1,9;1,0;1,9;1,7;1,7;102345;29;11;-6,3
20.9.2012 19:29:46;1,9;1,0;2,0;1,7;1,7;102345;29;11;-6,3
20.9.2012 19:30:11;1,9;1,0;2,0;1,7;1,7;102339;30;10;-6,7
20.9.2012 19:30:36;1,9;1,0;2,0;1,7;1,7;102336;30;10;-6,7
20.9.2012 19:31:01;1,9;1,0;2,0;1,7;1,7;102340;30;10;-6,7
20.9.2012 19:31:26;1,9;1,0;2,0;1,7;1,7;102346;30;10;-6,7
20.9.2012 19:31:51;1,9;1,0;2,0;1,7;1,7;102352;30;10;-6,7
20.9.2012 19:32:16;1,9;1,0;2,0;1,7;1,7;102347;30;10;-6,7
20.9.2012 19:32:41;1,9;1,0;2,0;1,7;1,7;102352;31;10;-6,3
20.9.2012 19:33:06;1,9;1,0;2,0;1,7;1,7;102350;31;10;-6,3
20.9.2012 19:33:31;1,9;1,0;2,0;1,7;1,7;102343;31;10;-6,3
20.9.2012 19:33:56;1,9;1,0;2,0;1,7;1,7;102342;31;10;-6,3
20.9.2012 19:34:21;1,9;1,0;2,0;1,7;1,7;102346;31;10;-6,3
20.9.2012 19:34:46;1,9;1,0;2,0;1,7;1,7;102345;31;10;-6,3
20.9.2012 19:35:11;1,9;1,0;2,0;1,7;1,7;102346;31;10;-6,3
20.9.2012 19:35:36;1,9;1,0;2,0;1,7;1,7;102344;31;10;-6,3
20.9.2012 19:36:01;1,9;1,0;2,0;1,7;1,7;102343;31;10;-6,3
20.9.2012 19:36:26;1,9;1,0;2,0;1,7;1,7;102343;31;10;-6,3
20.9.2012 19:36:51;1,9;1,0;2,0;1,7;1,7;102358;31;10;-6,3
20.9.2012 19:37:16;2,0;1,0;2,0;1,7;1,7;102337;31;10;-6,3
20.9.2012 19:37:41;2,0;1,0;2,0;1,7;1,7;102346;31;10;-6,3
20.9.2012 19:38:06;1,9;1,0;2,0;1,7;1,7;102339;31;10;-6,3
20.9.2012 19:38:31;2,0;1,0;2,0;1,7;1,7;102343;31;10;-6,3
20.9.2012 19:38:56;2,0;1,0;2,0;1,7;1,7;102352;31;10;-6,3
20.9.2012 19:39:21;2,0;1,0;2,0;1,7;1,7;102343;31;10;-6,3
20.9.2012 19:39:46;2,0;1,0;2,0;1,7;1,7;102348;31;10;-6,3
20.9.2012 19:40:11;2,0;1,0;2,0;1,7;1,7;102342;31;10;-6,3
20.9.2012 19:40:36;1,9;1,0;2,0;1,7;1,7;102346;30;11;-5,8
20.9.2012 19:41:01;1,9;1,0;2,0;1,7;1,7;102348;30;11;-5,8
20.9.2012 19:41:26;1,9;1,0;2,0;1,7;1,7;102338;30;11;-5,8
20.9.2012 19:41:51;1,9;1,0;2,0;1,7;1,7;102347;30;11;-5,8
20.9.2012 19:42:16;1,9;1,0;2,0;1,7;1,7;102350;31;10;-6,3
20.9.2012 19:42:41;1,9;1,0;2,0;1,7;1,7;102353;31;10;-6,3
20.9.2012 19:43:06;1,9;1,0;1,9;1,7;1,7;102345;31;10;-6,3
20.9.2012 19:43:31;1,9;1,0;1,9;1,7;1,7;102356;31;10;-6,3
20.9.2012 19:43:56;1,9;1,0;2,0;1,7;1,7;102344;31;10;-6,3
20.9.2012 19:44:21;1,9;1,0;1,9;1,7;1,7;102351;31;10;-6,3
20.9.2012 19:44:46;1,9;1,0;1,9;1,7;1,7;102355;31;10;-6,3
20.9.2012 19:45:11;1,9;1,0;1,9;1,7;1,7;102341;31;10;-6,3
20.9.2012 19:45:36;1,9;1,0;1,9;1,7;1,7;102341;31;10;-6,3
20.9.2012 19:46:01;1,9;1,0;1,9;1,7;1,7;102346;31;10;-6,3
20.9.2012 19:46:26;1,9;1,0;1,9;1,7;1,7;102345;31;10;-6,3
20.9.2012 19:46:51;1,9;1,0;1,9;1,7;1,7;102326;31;10;-6,3
20.9.2012 19:47:16;1,9;1,0;1,9;1,7;1,7;102340;31;10;-6,3
20.9.2012 19:47:41;1,9;1,0;1,9;1,7;1,7;102328;31;10;-6,3
20.9.2012 19:48:06;1,9;1,0;1,9;1,7;1,8;102327;31;10;-6,3
20.9.2012 19:48:31;1,9;1,0;1,9;1,7;1,8;102340;31;10;-6,3
20.9.2012 19:48:56;1,9;1,0;1,9;1,7;1,8;102329;31;10;-6,3
20.9.2012 19:49:21;1,9;1,0;1,9;1,7;1,7;102329;31;10;-6,3
20.9.2012 19:49:46;1,9;1,0;1,9;1,7;1,7;102341;31;10;-6,3
20.9.2012 19:50:11;1,9;1,0;1,9;1,7;1,7;102334;31;10;-6,3
20.9.2012 19:50:36;1,9;1,0;1,9;1,7;1,7;102323;31;10;-6,3
20.9.2012 19:51:01;1,9;1,0;1,9;1,7;1,7;102336;31;10;-6,3
20.9.2012 19:51:26;1,9;1,0;1,9;1,7;1,7;102333;32;10;-5,9
20.9.2012 19:51:51;1,9;1,0;1,9;1,7;1,7;102330;31;10;-6,3
20.9.2012 19:52:16;1,9;1,0;1,9;1,7;1,7;102334;32;10;-5,9
20.9.2012 19:52:41;1,9;1,0;1,9;1,7;1,7;102337;32;10;-5,9
20.9.2012 19:53:06;1,9;1,0;1,9;1,7;1,7;102325;32;10;-5,9
20.9.2012 19:53:31;1,9;1,0;1,9;1,7;1,7;102330;31;10;-6,3
20.9.2012 19:53:56;1,9;1,0;1,9;1,7;1,7;102330;32;10;-5,9
20.9.2012 19:54:21;1,9;1,0;2,0;1,7;1,7;102336;32;10;-5,9
20.9.2012 19:54:46;1,9;1,0;2,0;1,7;1,7;102321;32;10;-5,9
20.9.2012 19:55:11;1,9;1,0;2,0;1,7;1,7;102331;32;10;-5,9
20.9.2012 19:55:36;1,9;1,0;2,0;1,7;1,7;102322;32;10;-5,9
20.9.2012 19:56:01;1,9;1,0;2,0;1,7;1,7;102337;32;10;-5,9
20.9.2012 19:56:26;1,9;1,0;2,0;1,7;1,7;102348;32;10;-5,9
20.9.2012 19:56:51;1,9;1,0;2,0;1,7;1,7;102351;32;10;-5,9
20.9.2012 19:57:16;1,9;1,0;2,0;1,7;1,7;102336;32;10;-5,9
20.9.2012 19:57:41;1,9;1,0;1,9;1,7;1,7;102344;32;10;-5,9
20.9.2012 19:58:06;1,9;1,0;1,9;1,7;1,7;102333;32;10;-5,9
20.9.2012 19:58:31;1,9;1,0;1,9;1,7;1,7;102331;32;10;-5,9
20.9.2012 19:58:56;1,9;1,0;1,9;1,7;1,7;102336;32;10;-5,9
20.9.2012 19:59:21;1,9;1,0;1,9;1,7;1,7;102337;32;10;-5,9
20.9.2012 19:59:46;1,9;1,0;1,9;1,7;1,7;102342;32;10;-5,9
20.9.2012 20:00:11;1,9;1,0;1,9;1,7;1,7;102331;32;10;-5,9
20.9.2012 20:00:36;1,9;1,0;1,9;1,7;1,7;102338;32;10;-5,9
20.9.2012 20:01:01;1,9;1,0;1,9;1,7;1,7;102338;32;10;-5,9
20.9.2012 20:01:26;1,9;1,0;1,9;1,7;1,7;102338;32;10;-5,9
20.9.2012 20:01:51;1,9;1,0;1,9;1,7;1,7;102340;32;10;-5,9
20.9.2012 20:02:16;1,9;1,0;1,9;1,7;1,7;102338;32;10;-5,9
20.9.2012 20:02:41;1,9;1,0;1,9;1,7;1,7;102342;32;10;-5,9
20.9.2012 20:03:13;1,9;1,0;1,9;1,7;1,7;102343;32;10;-5,9
20.9.2012 20:03:38;1,9;1,0;1,9;1,7;1,7;102358;32;10;-5,9
20.9.2012 20:04:03;1,9;1,0;1,9;1,7;1,7;102345;32;10;-5,9
20.9.2012 20:04:29;1,9;1,0;1,9;1,7;1,7;102349;32;10;-5,9
20.9.2012 20:04:54;1,9;1,0;2,0;1,7;1,7;102347;32;10;-5,9
20.9.2012 20:05:19;1,9;1,0;1,9;1,7;1,7;102346;32;10;-5,9
20.9.2012 20:05:44;1,9;1,0;1,9;1,7;1,7;102342;32;10;-5,9
20.9.2012 20:06:09;1,9;1,0;1,9;1,7;1,7;102351;32;10;-5,9
20.9.2012 20:06:34;1,9;1,0;1,9;1,7;1,7;102342;32;10;-5,9
20.9.2012 20:06:59;1,9;1,0;1,9;1,7;1,7;102338;32;10;-5,9
20.9.2012 20:07:24;1,9;1,0;1,9;1,7;1,7;102341;32;10;-5,9
20.9.2012 20:07:49;1,9;1,0;1,9;1,7;1,7;102351;32;10;-5,9
20.9.2012 20:08:14;1,9;1,0;1,9;1,7;1,7;102343;32;10;-5,9
20.9.2012 20:08:39;1,9;1,0;1,9;1,7;1,7;102343;32;10;-5,9
20.9.2012 20:09:04;1,9;1,0;1,9;1,7;1,7;102350;32;10;-5,9
20.9.2012 20:09:29;1,9;1,0;2,0;1,7;1,7;102343;32;10;-5,9
20.9.2012 20:09:54;1,9;1,0;2,0;1,7;1,7;102344;33;10;-5,5
20.9.2012 20:10:19;1,9;1,0;2,0;1,7;1,7;102340;33;10;-5,5
20.9.2012 20:10:44;1,9;1,0;1,9;1,7;1,7;102347;33;10;-5,5
